kingdom,order,family,class,genus_matched,fa,ecosystem,mean_concentration,moss,lichen
Bacteria,Burkholderiales,Burkholderiaceae,Betaproteobacteria,Polynucleobacter,ala,Freshwater,0,no,no
Bacteria,Burkholderiales,Burkholderiaceae,Betaproteobacteria,Polynucleobacter,dha,Freshwater,0,no,no
Bacteria,Burkholderiales,Burkholderiaceae,Betaproteobacteria,Polynucleobacter,epa,Freshwater,0,no,no
Bacteria,Chlorobiales,Chlorobiaceae,Chlorobea,Chlorobium,ala,Freshwater,0,no,no
Bacteria,Chlorobiales,Chlorobiaceae,Chlorobea,Chlorobium,dha,Freshwater,0,no,no
Bacteria,Chlorobiales,Chlorobiaceae,Chlorobea,Chlorobium,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Aphanothece,ala,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Aphanothece,dha,Freshwater,0.5587082975,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Aphanothece,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Chroococcus,ala,Freshwater,23.64,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Chroococcus,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Chroococcus,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Merismopedia,ala,Freshwater,7.28,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Merismopedia,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Merismopedia,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Microcystis,ala,Freshwater,5.994174835727272,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Microcystis,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Microcystis,epa,Freshwater,0.07008204127272727,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechococcus,ala,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechococcus,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechococcus,epa,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechocystis,ala,Freshwater,8.49,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechocystis,dha,Freshwater,0,no,no
Bacteria,Chroococcales,Chroococcaceae,Cyanophyceae,Synechocystis,epa,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylobacter,ala,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylobacter,dha,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylobacter,epa,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylomonas,ala,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylomonas,dha,Freshwater,0,no,no
Bacteria,Methylococcales,Methylococcaceae,Gammaproteobacteria,Methylomonas,epa,Freshwater,0,no,no
Bacteria,Nostocales,Microchaetaceae,Cyanophyceae,Nodularia,ala,Freshwater,7.737,no,no
Bacteria,Nostocales,Microchaetaceae,Cyanophyceae,Nodularia,dha,Freshwater,0,no,no
Bacteria,Nostocales,Microchaetaceae,Cyanophyceae,Nodularia,epa,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaena,ala,Freshwater,22.655738782041666,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaena,dha,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaena,epa,Freshwater,0.017150824166666665,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaenopsis,ala,Freshwater,9.3576,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaenopsis,dha,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Anabaenopsis,epa,Freshwater,0,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Aphanizomenon,ala,Freshwater,30.8,no,no
Bacteria,Nostocales,Nostocaceae,Cyanophyceae,Aphanizomenon,dha,Freshwater,0,no,no
