ecosystem,habitat,habitat_notes,trophic_position,species,family,order,Class,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,source,common_name,percent_22_6n3_dha,percent_20_5n3_epa,percent_18_3n3_ala
terrestrial,New Zealand,M_Winter,consumer,Sphenodon punctatus,,,Reptilia,"Cartland-Shaw et al., 1998",Cam,25,28_11_2019,"Cartland-Shaw et al., 1998",,Tuatara,6.5,9,2.2
terrestrial,New Zealand,M_Winter,consumer,Sphenodon punctatus,,,Reptilia,"Cartland-Shaw et al., 1998",Cam,25,28_11_2019,"Cartland-Shaw et al., 1998",,Tuatara,2.7,4.4,5.4
terrestrial,New Zealand,M_Winter,consumer,Sphenodon punctatus,,,Reptilia,"Cartland-Shaw et al., 1998",Cam,25,28_11_2019,"Cartland-Shaw et al., 1998",,Tuatara,3.4,4.5,1.5
terrestrial,New Zealand,M_Winter,consumer,Sphenodon punctatus,,,Reptilia,"Cartland-Shaw et al., 1998",Cam,25,28_11_2019,"Cartland-Shaw et al., 1998",,Tuatara,1.1,2.5,4.7
