ecosystem,habitat,Notes,trophic_position,species,family,Class,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,source,common_name,percent_22_6n3_dha,percent_20_5n3_epa,percent_18_3n3_ala
marine,pelagic,Mystacial fat,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,8.7,8.7,0.8
marine,pelagic,Supercilliary fat,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,10.2,9.2,0.8
marine,pelagic,Cheek,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,10.7,9.5,0.9
marine,pelagic,Crown,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,11.4,9.1,0.8
marine,pelagic,Foreflipper,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,11.3,8.7,0.9
marine,pelagic,Hindflipper,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,11.7,8.9,0.8
marine,pelagic,Ventral upper layer,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,11,9.4,0.8
marine,pelagic,Ventral inner layer,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,11.9,7.1,1
marine,pelagic,Dorsal upper layer,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,10.9,9,0.8
marine,pelagic,Dosral inner layer,consumer,Phoca hispida hispida,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,12.2,7.2,1
marine,pelagic,Mystacial fat,consumer,Phoca hispida botnica,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,6.2,6.1,2.2
marine,pelagic,Supercilliary fat,consumer,Phoca hispida botnica,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,8.6,7.4,2.3
marine,pelagic,Cheek,consumer,Phoca hispida botnica,,Mammalia,"Käkelä & Hyvärinen, 1996",Cam,27,29_11_19,"Käkelä & Hyvärinen, 1996",,Ringed seal,9.7,8,2.3
