,sample,habitat,X,batch,weight..g.,sex,total.length..mm.,dC,dN,tr_posit,Zooplankton.diet..from.MixSIA.,DFA.scores..littoral....pelagic.,age.gr,age,group,condition,last.year.gowth.g.lnL2.lnL1,X14.00,i.15.0,ai.15.0,X15.00,i.16.0,ai.16.0,X16.00,X16.01,X16.1n.9,X16.1n.7,X16.1n.5,i.17.0,ai.17.0,X17.00,X17.01,X18.00,X18.1n,X18.1n.9,X18.1n.7,X18.1n.5,X18.2n.6,X19.00,X18.3n.6,X18.3n.3..ALA.,X18.4n.3..SDA.,X20.00,X20.1n.9,X20.2n.6,X20.4n.6..ARA.,X20.3n.3,X20.4n.3,X20.5n.3..EPA.,X22.00,X22.4n.6,X22.5n.6,X22.5n.3..DPA.,X22.6n.3..DHA.,X24.1n.9,sumPUFAS,w3,w6,w3.w6,sumMUFAS,pelagic.diet.over..benthic.pelagic.,piscivory,lines.LP,lines.LL,Lines.P,Lines.pisc,cluster2,hab_age,hab_age.num,cluster3,X.4,X.5,wrong.clasif,X.2,L1,L2,L3,L4,L5,L6,X.1,L.t.,hab_age.num2,cla,cla.sd,cop,cop.sd,kcluster_hab.num,finalcluster.n,final.cluster,bg,fish,litt,pel,fish.sd,lit.sd,pel.sd,epa.ara,dha.ara,bact,SAFA,percfish,perclitt,percpel
92,p37,pelagic,NA,b2,22.55,f,132,-28.05,10.57,3.196446,0.631,0.76529381,2,2,P,0.9804484,0.21221972,0.9790647,0.30067028,0.144138174,0.4499154,0,0.09848884,20.26854,0.2819544,0.5193983,2.142049,0.4261209,0.3321444,0.11353568,0.7710981,0.1905456,6.679947,0.036985784,5.067244,3.043301,0.02727538,2.654558,0.10457653,0.16691365,3.3855711,1.6392846,0.15887015,0.10854574,0.10027357,9.822219,0.15344625,0.5424575,15.317989,0.06890063,0.4738246,1.4477287,2.709171,18.61965,0.6536052,57.03308,42.36757,14.665517,2.888924,11.84342,0.655,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P32,p37,67.32,106.76,NA,NA,NA,NA,NA,NA,2,0.44,0.206,0.304,0.177,cyan,cyan,PP,NA,0.156,0.1,0.744,0.13,0.098,0.271597128,1.559524279,1.895666346,2.314567404,29.48091251,15.6,10,74.4
93,p38,pelagic,NA,b2,23.23,f,138,-27.72,11.07,3.345576,0.631,1.52706585,3,3,P,0.8839179,0.1195755,0.9422701,0.27132744,0.139136971,0.4312568,0.4531101,0.10400678,19.31812,0.282947,0.5044837,2.162365,0.4470187,0.2955698,0.08506788,0.7543827,0.2426905,6.9033,0.026754547,4.873111,3.504218,0.03064002,2.870976,0.10653434,0.1490352,3.0258769,1.485963,0.16148363,0.08146516,0.149265521,10.306169,0.09323403,0.4178779,15.863101,0.08844291,0.5281801,1.3792875,3.084297,17.57102,0.866011,56.92429,41.54137,15.382913,2.700488,12.155694,0.482,non-piscivorous,NA,NA,1,NA,3,pelagic 3,22,1,NA,NA,p58,p38,80.45,114.67,122.45,NA,NA,NA,NA,NA,22,0.365,0.148,0.342,0.138,cyan,cyan,PP,NA,0.173,0.12,0.707,0.108,0.09,0.202356122,1.539185026,1.704903151,2.640392811,28.70579048,17.3,12,70.7
94,p39,pelagic,NA,b2,28.23,f,143,-27.82,10.89,3.291744,0.63,1.38331134,3,3,P,0.9653899,0.11977034,0.9044242,0.21955201,0.102452238,0.3954345,0.3948178,0.08227875,20.62734,0.2858153,0.5205505,1.945553,0.3973753,0.2662327,0.08364019,0.7178006,0.2544498,6.841082,0.028657314,4.979008,3.210129,0.030795,2.327789,0.11787783,0.13506592,2.8239597,1.4414788,0.17745026,0.09884343,0.101399885,10.541721,0.12237843,0.4100939,16.443803,0.10063957,0.5717826,1.2908958,3.325436,16.78747,0.894533,56.32327,41.35462,14.968653,2.762748,11.751177,0.695,non-piscivorous,NA,NA,1,NA,3,pelagic 3,22,NA,NA,NA,P43,p39,70.36,117.17,126.86,NA,NA,NA,NA,NA,22,0.398,0.199,0.323,0.174,cyan,cyan,PP,NA,0.161,0.118,0.721,0.133,0.108,0.264342581,1.559878411,1.592479065,2.380086618,29.88204896,16.1,11.8,72.1
95,P40,pelagic,NA,b13,28.25,f,148,-27.93,10.9,3.295139,0.631,2.68331851,3,3,P,0.8714316,0.17227443,1.1472943,0.31148392,0.105715455,0.4672067,0.37680203,0.11012427,19.91078,0.2944868,0.6400284,2.043163,0.4009957,0.3386369,0.1141911,0.8886726,0.2040145,6.592448,0.037023253,5.536129,3.190078,0.03545744,2.359619,0.10829325,0.11737188,3.0857338,1.1348836,0.14526924,0.08433822,0.154781059,10.197586,0.11918585,0.5620122,17.879154,0.07410287,0.4684262,1.2980772,2.832027,15.97845,0.6559572,56.1873,41.59144,14.595862,2.849537,12.465714,0.652,non-piscivorous,NA,NA,1,NA,3,pelagic 3,22,NA,NA,NA,P50,P40,76.06,111.2,124.58,NA,NA,NA,NA,NA,22,0.393,0.197,0.339,0.175,cyan,cyan,PP,NA,0.156,0.112,0.732,0.131,0.103,0.263503321,1.753273177,1.566885535,2.821126225,29.33406696,15.6,11.2,73.2
96,P41,pelagic,NA,b3,25.03,m,137,-27.82,11.25,3.396702,0.631,0.31937126,2,2,P,0.9734175,0.18598437,1.0829437,0.30001423,0.162224427,0.4131297,0.37152622,0.09566962,19.34504,0.2936877,0.5384025,2.405396,0.4821072,0.3144644,0.1072957,0.8215052,0.2632964,7.002056,0.042593434,5.095488,3.397855,0.04040527,2.617159,0.12233225,0.13884868,3.0952021,1.6145377,0.21587535,0.11669991,0.088210281,9.782375,0.12980367,0.3930533,15.29669,0.08837358,0.4765052,1.3850162,3.052653,18.01735,0.7942146,56.08741,41.59929,14.488114,2.87127,12.675931,0.593,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,2,NA,NA,P59,P41,80.53,113.75,NA,NA,NA,NA,NA,NA,2,0.341,0.188,0.351,0.179,cyan,cyan,PP,NA,0.2,0.108,0.692,0.147,0.102,0.259586209,1.563698999,1.841817555,2.708161747,29.09125578,20,10.8,69.2
97,P42,pelagic,NA,b11,38.75,f,148,-27.24,10.32,3.12257,0.628,1.13306757,3,3,P,1.1953265,0.20382978,0.4545137,0.13924155,0.041391006,0.3388264,0.48018522,0.1123395,19.03765,0.2007195,0.483177,3.880743,0.6333956,0.22273,0.13736301,0.8138275,0.2868329,7.113496,0.076885013,4.549296,4.416141,0.08620543,2.632897,0.13966399,0.17203077,1.1503088,0.4072044,0.11917281,0.14771145,0.080201546,10.154168,0.12036846,0.188917,12.767484,0.06807228,0.7678693,2.1235698,3.2049,21.61119,0.6393132,55.38111,39.45037,15.930737,2.476368,14.761107,0.648,non-piscivorous,NA,NA,1,NA,3,pelagic 3,22,NA,NA,NA,P40,P42,67.56,91.98,120.71,NA,NA,NA,NA,NA,22,0.468,0.204,0.235,0.144,cyan,cyan,PP,NA,0.157,0.141,0.703,0.137,0.132,0.249703825,1.257363873,2.128307312,2.425568176,28.08522268,15.7,14.1,70.3
98,P43,pelagic,NA,b11,30.65,f,146,-28.2,11.22,3.389379,0.633,2.29639425,2,2,P,0.9848541,0.26369379,1.1258322,0.26282846,0.128454261,0.439082,0.39285103,0.10878546,20.26353,0.2950846,0.5432652,2.141176,0.4602974,0.3015195,0.1111733,0.7746728,0.178459,6.250044,0.043598114,4.633654,2.969251,0.03441328,2.391449,0.11908991,0.13408666,3.0481785,1.5496602,0.17137094,0.10970859,0.137916107,9.237953,0.13935322,0.4974729,16.152636,0.07994054,0.4728233,1.5467765,2.662523,19.47348,0.6176139,57.44431,43.5233,13.921004,3.126449,11.408907,0.682,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P31,P43,73.48,112.16,NA,NA,NA,NA,NA,NA,2,0.343,0.192,0.386,0.187,cyan,cyan,PP,NA,0.177,0.093,0.729,0.137,0.088,0.268016791,1.748508138,2.107986477,2.638456721,29.22356239,17.7,9.3,72.9
99,P44,pelagic,NA,b11,35.04,f,143,-27.83,12.03,3.626084,0.633,0.09693648,2,2,P,1.1982736,0.23979383,0.6821352,0.1445055,0.048653477,0.3564686,0.48342883,0.09396842,19.49073,0.287764,0.5011671,1.627682,0.4461234,0.3342509,0.11658396,0.7504026,0.176383,6.803322,0.028810711,4.394288,3.057925,0.03420341,1.773496,0.12598919,0.09225381,1.9000565,0.7143638,0.14655024,0.09493825,0.201788924,10.126158,0.09561921,0.284958,14.431658,0.05961043,0.5337632,1.9206189,2.999717,23.77595,0.863717,58.8504,44.20232,14.648079,3.017619,10.649285,0.655,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P46,P44,69.83,112.51,NA,NA,NA,NA,NA,NA,2,0.245,0.157,0.411,0.191,cyan,cyan,PP,NA,0.245,0.099,0.656,0.169,0.092,0.247244818,1.425185939,2.347973437,2.454251477,28.41520826,24.5,9.9,65.6
100,P45,pelagic,NA,b11,22.1,m,123,-26.61,11,3.322279,0.625,1.85566406,2,2,P,1.1876185,0.13396012,0.9392447,0.28546794,0.151638149,0.4070648,0.39529795,0.07988075,20.78078,0.2750621,0.4510002,1.994342,0.4605612,0.3012714,0.09513824,0.790641,0.2038795,6.771062,0.038212907,4.159543,2.876702,0.02828531,2.003927,0.11666554,0.14005324,2.7728556,1.5701147,0.15186674,0.07187528,0.152769891,8.686436,0.12507997,0.450425,17.057192,0.0751376,0.4891306,1.1743956,3.244753,19.65345,0.5787954,57.52059,44.87388,12.646713,3.548264,10.559464,0.601,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P41,P45,73.65,107.58,NA,NA,NA,NA,NA,NA,2,0.347,0.188,0.24,0.146,cyan,cyan,PP,NA,0.25,0.163,0.587,0.175,0.145,0.238033611,1.963658283,2.262544731,2.623065769,30.03246238,25,16.3,58.7
101,P46,pelagic,NA,b11,28.23,m,136,-27.36,11.23,3.39231,0.628,1.21625142,2,2,P,1.1222617,0.21253931,1.0455009,0.29340929,0.155467072,0.4184176,0,0.08433365,20.83395,0.2984792,0.4873097,2.017666,0.4385929,0.3082295,0.10839035,0.7675407,0.1901914,6.36606,0.044894868,4.556414,2.910518,0.03150984,1.958639,0.14146058,0.14655065,2.8548697,1.4428088,0.14794112,0.08109168,0.118351126,9.140136,0.13471894,0.4281588,15.514902,0.08951822,0.5395544,1.3307122,3.202876,20.76366,0.607178,57.57593,44.34199,13.233943,3.350626,11.056668,0.674,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,p52,P46,74.15,109.96,NA,NA,NA,NA,NA,NA,2,0.34,0.188,0.311,0.169,cyan,cyan,PP,NA,0.223,0.126,0.651,0.162,0.113,0.252794383,1.697447609,2.271701428,2.277248742,29.81038912,22.3,12.6,65.1
