,sample,habitat,X,batch,weight..g.,sex,total.length..mm.,dC,dN,tr_posit,Zooplankton.diet..from.MixSIA.,DFA.scores..littoral....pelagic.,age.gr,age,group,condition,last.year.gowth.g.lnL2.lnL1,X14.00,i.15.0,ai.15.0,X15.00,i.16.0,ai.16.0,X16.00,X16.01,X16.1n.9,X16.1n.7,X16.1n.5,i.17.0,ai.17.0,X17.00,X17.01,X18.00,X18.1n,X18.1n.9,X18.1n.7,X18.1n.5,X18.2n.6,X19.00,X18.3n.6,X18.3n.3..ALA.,X18.4n.3..SDA.,X20.00,X20.1n.9,X20.2n.6,X20.4n.6..ARA.,X20.3n.3,X20.4n.3,X20.5n.3..EPA.,X22.00,X22.4n.6,X22.5n.6,X22.5n.3..DPA.,X22.6n.3..DHA.,X24.1n.9,sumPUFAS,w3,w6,w3.w6,sumMUFAS,pelagic.diet.over..benthic.pelagic.,piscivory,lines.LP,lines.LL,Lines.P,Lines.pisc,cluster2,hab_age,hab_age.num,cluster3,X.4,X.5,wrong.clasif,X.2,L1,L2,L3,L4,L5,L6,X.1,L.t.,hab_age.num2,cla,cla.sd,cop,cop.sd,kcluster_hab.num,finalcluster.n,final.cluster,bg,fish,litt,pel,fish.sd,lit.sd,pel.sd,epa.ara,dha.ara,bact,SAFA,percfish,perclitt,percpel
102,P47,pelagic,NA,b12,21.85,m,120,-24.98,10.05,3.045392,0.615,-1.28660059,2,2,P,1.2644676,0.19850703,0.9090084,0.2469,0.119449885,0.3231043,0.63568215,0.10364565,20.60911,0.2044934,0.5821007,5.00103,0.3405698,0.2682744,0.14049025,0.7490969,0.3145102,6.272299,0.082856998,6.000242,3.616466,0.04970912,2.04468,0.1348273,0.22767751,2.1033309,1.3753793,0.13680906,0.20422287,0.196359137,7.896755,0.10767437,0.3924096,14.176304,0.07469791,0.6795543,1.7188567,2.979576,18.33367,0.6481729,52.23223,39.46834,12.763883,3.092189,16.396202,0.674,non-piscivorous,NA,NA,1,NA,1,pelagic 2,2,NA,NA,NA,p38,P47,75.25,98.39,NA,NA,NA,NA,NA,NA,2,0.199,0.162,0.076,0.082,aquamarine4,aquamarine4,PB,NA,0.259,0.466,0.275,0.203,0.215,0.181570923,1.795206259,2.32167137,2.721470835,29.20895287,25.9,46.6,27.5
103,P49,pelagic,NA,b12,36.05,f,149,-27.42,11.45,3.455806,0.629,2.85733811,3,3,P,1.0897991,0.20800475,0.8043271,0.19336156,0.084065764,0.3909041,0.54317589,0.08669505,20.39602,0.2883928,0.4907553,1.782122,0.4849757,0.2626011,0.08349729,0.7123968,0.1745364,6.669727,0.018229088,4.214484,2.876903,0.02170285,1.989159,0.10144397,0.10991236,2.5229216,1.118791,0.120069,0.06637716,0.140466091,9.895319,0.10536851,0.3462944,14.90579,0.08604362,0.4438386,1.4577762,3.368921,21.80829,0.8343483,58.21285,44.17638,14.03647,3.147257,10.418477,0.69,non-piscivorous,NA,NA,1,NA,3,pelagic 3,22,NA,NA,NA,P42,P49,71.64,104.56,121.02,NA,NA,NA,NA,NA,22,0.316,0.186,0.339,0.179,cyan,cyan,PP,NA,0.213,0.133,0.655,0.165,0.121,0.258141434,1.506347597,2.203899642,2.458141524,29.28093159,21.3,13.3,65.5
104,P50,pelagic,NA,b12,32.06,f,147,-28.02,11.61,3.502457,0.633,1.18188394,3,3,P,1.0092796,0.15438782,0.932669,0.22827553,0.100026953,0.4033882,0.3455072,0.08940761,19.58825,0.2903349,0.5262781,2.040518,0.4519519,0.3263606,0.11086808,0.7880537,0.2089476,6.939389,0.0527863,5.649398,3.406196,0.03466286,2.280314,0.12013959,0.12787149,2.6157135,1.1945694,0.18026417,0.11838873,0.168865381,9.816316,0.10101168,0.4144446,15.308961,0.09223789,0.4858353,1.5784127,2.894361,19.34071,0.6483071,56.32739,41.86978,14.457615,2.896036,12.779462,0.69,non-piscivorous,NA,NA,1,NA,3,pelagic 3,22,NA,NA,NA,P49,P50,56.87,101.94,125.97,NA,NA,NA,NA,NA,22,0.292,0.175,0.414,0.183,cyan,cyan,PP,NA,0.184,0.11,0.706,0.146,0.099,0.253207425,1.559542399,1.970261552,2.512027463,29.04439155,18.4,11,70.6
105,P51R,pelagic,NA,b13,30.02,f,138,-27.87,11.93,3.595708,0.633,1.0183692,2,2,P,1.1422823,0.27757243,0.9516213,0.23194292,0.100177714,0.401126,0.41231257,0.09297559,19.85617,0.2761225,0.5221985,1.822836,0.4773426,0.2638171,0.08956138,0.7425519,0.1881053,7.041444,0.033452243,4.629624,3.006509,0.02483162,1.982511,0.10989017,0.0968702,2.3442517,1.0351643,0.13900743,0.07502352,0.126362852,9.33604,0.10824088,0.4203491,15.865761,0.08012228,0.4298706,1.3755956,3.174362,21.40296,0.7328977,57.69834,44.35109,13.34725,3.322863,11.056045,0.677,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P51R,P51R,61.55,104.55,NA,NA,NA,NA,NA,NA,2,0.241,0.156,0.421,0.182,cyan,cyan,PP,NA,0.217,0.121,0.662,0.157,0.102,0.239708156,1.699410135,2.292509458,2.444355344,29.32193308,21.7,12.1,66.2
106,p52,pelagic,NA,b1,26.63,f,137,-26.16,10.51,3.177957,0.621,-1.47455404,2,2,P,1.0356415,0.11871067,0.9187709,0.26937774,0.140981314,0.3966555,0.41467486,0.08516656,20.41275,0.2432298,0.457649,2.133879,0.387164,0.2685154,0.12346161,0.7579325,0.1843054,6.814042,0.032327823,4.460299,2.951353,0.01905302,2.370261,0.10105109,0.1601334,2.9634684,1.7991957,0.17906782,0.08616525,0.195909772,8.929759,0.11407924,0.509843,16.813965,0.08227812,0.4629503,1.4044117,2.930328,18.77039,0.6551481,57.4247,43.90127,13.523425,3.246313,10.955425,0.647,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,p35g,p52,73.96,121.66,NA,NA,NA,NA,NA,NA,2,0.359,0.196,0.199,0.121,cyan,cyan,PP,NA,0.206,0.236,0.558,0.165,0.171,0.230341051,1.882913637,2.102004097,2.557816574,29.66254793,20.6,23.6,55.8
107,P53,pelagic,NA,b12,25.24,f,131,-27.64,11.14,3.3657,0.63,1.26647239,2,2,P,1.1227304,0.12722699,1.0595994,0.34250306,0.167625914,0.423694,0.18154019,0.10702687,20.88966,0.2922728,0.4802145,2.26942,0.4745756,0.364307,0.12774859,0.810898,0.1830248,6.158854,0.046837615,4.33596,2.881443,0.04008698,1.834044,0.11381899,0.12508204,2.9156319,1.516337,0.12996113,0.09308574,0.138092291,8.201436,0.13026476,0.4494014,15.942509,0.07890786,0.4326525,1.573339,2.41115,21.70972,0.5672702,57.37966,45.07502,12.304646,3.663252,11.09692,0.671,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P34,P53,71.53,115.35,NA,NA,NA,NA,NA,NA,2,0.337,0.188,0.338,0.171,cyan,cyan,PP,NA,0.188,0.136,0.675,0.145,0.115,0.25413579,1.943868001,2.64706327,2.639162614,29.66539338,18.8,13.6,67.5
108,P54,pelagic,NA,b12,37.55,m,158,-27.63,11.58,3.494518,0.631,1.37031619,3,3,P,0.9520038,0.1548653,0.834195,0.18074689,0.055724295,0.3996365,0.47990296,0.08653399,20.9683,0.2632643,0.5307251,1.529775,0.4142626,0.2631745,0.08426781,0.7507315,0.1594613,6.717204,0.03497917,4.636756,2.768868,0.0246112,1.728171,0.09175043,0.07486972,2.0134907,0.7039658,0.11108934,0.07066026,0.106157009,9.325509,0.09326431,0.3882764,15.167278,0.07554445,0.4162095,1.5808538,3.111141,22.90667,0.8519781,57.61585,44.38408,13.231769,3.354357,10.433362,0.661,non-piscivorous,NA,NA,1,NA,3,pelagic 3,22,NA,NA,NA,P54,P54,75.42,115.9,135.33,NA,NA,NA,NA,NA,22,0.301,0.179,0.373,0.183,cyan,cyan,PP,NA,0.205,0.122,0.674,0.16,0.107,0.255988281,1.62642897,2.456345278,2.392468875,29.94845122,20.5,12.2,67.4
109,p55,pelagic,NA,b1,29.79,f,141,-27.88,11.1,3.352586,0.633,-2.11091401,2,2,P,1.0627061,0.24447847,0.939651,0.2427262,0.108317441,0.4194961,0.36948624,0.0882438,20.61376,0.2401326,0.5038627,2.0427,0.3730928,0.2338412,0.10110457,0.6681464,0.195695,6.821906,0.030528701,4.568877,3.00375,0.03377924,2.40098,0.12453945,0.1359181,2.5131429,1.2341491,0.14725483,0.09194882,0.172752548,9.10425,0.06806134,0.3459053,15.732878,0.0877256,0.4053077,1.3598435,2.891526,20.88363,0.7010957,57.24834,43.66929,13.579052,3.215931,11.084366,0.685,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,p55,p55,70.18,110.42,NA,NA,NA,NA,NA,NA,2,0.347,0.191,0.355,0.176,cyan,cyan,PP,NA,0.172,0.127,0.702,0.136,0.108,0.259724854,1.728080622,2.2938331,2.355901401,29.82247938,17.2,12.7,70.2
110,P56R,pelagic,NA,b10,31.12,f,143,-27.41,11.64,3.512308,0.63,-0.29791201,2,2,P,1.0642201,0.22712213,1.0695193,0.28829066,0.136617557,0.4173655,0.50317854,0.0978094,23.25039,0.2515691,0.5437332,2.6672,0.565466,0.2761985,0.08103623,0.7445047,0.2516528,5.575806,0,4.197119,2.912742,0,2.276431,0.07672791,0.1044433,2.5487722,1.4610429,0.09583195,0.02514515,0.148603491,8.849931,0.07036372,0.3285683,16.424811,0.07194473,0.3956594,0.9370474,3.028849,18.69409,0.6315407,55.26861,42.55649,12.712116,3.347711,11.414628,0.661,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P36,P56R,70.36,113.95,NA,NA,NA,NA,NA,NA,2,0.271,0.166,0.353,0.174,cyan,cyan,PP,NA,0.234,0.142,0.624,0.166,0.115,0.240482848,1.855925317,2.112343023,2.621728997,31.30209009,23.4,14.2,62.4
111,P57G,pelagic,NA,b10,25.46,m,132,-28.01,10.86,3.281359,0.632,2.31644841,2,2,P,1.1069719,0,1.0310494,0.30478711,0.148698032,0.4130322,0.41251456,0.10622899,20.83891,0.309616,0.4940434,2.280849,0.4681275,0.3444842,0.11759367,0.8116585,0.2187315,6.527045,0.029527516,4.554603,2.922494,0.02830279,1.991671,0.1078805,0.11988616,2.7440476,1.4799785,0.14022826,0.07945677,0.151283883,8.872477,0.11241751,0.430681,16.313496,0.08556215,0.4322645,1.5243193,2.678091,19.66734,0.7066203,56.51796,43.42605,13.091902,3.317016,11.385752,0.687,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,p39,P57G,84.67,132,NA,NA,NA,NA,NA,NA,2,0.38,0.197,0.342,0.173,cyan,cyan,PP,NA,0.159,0.119,0.722,0.129,0.099,0.262179328,1.838663093,2.216668468,2.766877762,29.95536601,15.9,11.9,72.2
112,p58,pelagic,NA,b1,27.29,m,144,-27.51,11.43,3.449197,0.63,2.16929084,2,2,P,0.9139366,0.09706584,0.8799564,0.18168113,0.074676278,0.4252399,0.52024614,0.08583363,20.09291,0.2460346,0.5043335,1.895054,0.3791367,0.2354824,0.12027407,0.7738512,0.2420916,6.812931,0.040672428,4.907117,3.463306,0.03640635,2.361242,0.12120327,0.14863465,2.5820382,1.0434633,0.1459404,0.11260773,0.123532479,10.90048,0.10279323,0.377718,15.251009,0.08061796,0.5579246,1.4266965,3.763789,17.91511,1.0679613,56.55444,41.03592,15.51851,2.644321,11.82676,0.674,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P44,p58,82.39,130.68,NA,NA,NA,NA,NA,NA,2,0.296,0.174,0.347,0.173,cyan,cyan,PP,NA,0.216,0.14,0.643,0.159,0.115,0.245367072,1.399113525,1.643515698,2.538488018,29.33265013,21.6,14,64.3
113,P59,pelagic,NA,b10,24.23,f,133,-27.55,11.25,3.396131,0.63,-1.46370024,2,2,P,1.0299081,0.30517927,1.007709,0.2709755,0.12422374,0.3902188,0.39881196,0.08666691,22.29053,0.302005,0.4780352,2.238993,0.4444364,0.3070956,0.09074856,0.7142078,0.1825208,6.495442,0,4.454271,2.82465,0,1.816714,0.1404335,0.1328251,2.5763638,1.3186989,0.1744568,0.03568262,0.147100908,8.67975,0.09413393,0.3681177,16.420064,0.06499961,0.3321194,1.4479679,2.540735,20.01093,0.5973619,55.88552,43.32904,12.556478,3.450732,10.960594,0.678,non-piscivorous,NA,NA,1,NA,3,pelagic 2,2,NA,NA,NA,P56R,P59,61.45,98.02,NA,NA,NA,NA,NA,NA,2,0.319,0.184,0.342,0.172,cyan,cyan,PP,NA,0.198,0.14,0.661,0.149,0.115,0.251872984,1.891766929,2.305473084,2.52338237,31.27799751,19.8,14,66.1
